depth
time,pressure,depth_raw,depth_filt,
seconds,Pa,m,m,
2994.30202460,475.69360000,  0.04850000, -0.06270000,
2994.40334105,620.08020000,  0.06320000, -0.05010000,
2994.50495243,805.09330000,  0.08210000, -0.03690000,
2994.60408497,914.38460000,  0.09320000, -0.02390000,
2994.70542455,1084.52040000,  0.11060000, -0.01040000,
2994.80506396,1226.99960000,  0.12510000,  0.00310000,
2994.90619636,1403.42970000,  0.14310000,  0.01710000,
2994.99203610,1567.46190000,  0.15980000,  0.03140000,
2995.10721898,1784.13710000,  0.18190000,  0.04640000,
2995.20848608,1971.62980000,  0.20110000,  0.06190000,
2995.30788732,2171.13890000,  0.22140000,  0.07790000,
2995.40926456,2311.90150000,  0.23570000,  0.09360000,
2995.50992918,2533.15430000,  0.25830000,  0.11010000,
2995.61014342,2680.21110000,  0.27330000,  0.12640000,
2995.71022487,2857.78560000,  0.29140000,  0.14290000,
2995.81103063,3006.17760000,  0.30650000,  0.15930000,
2995.89128447,3151.89930000,  0.32140000,  0.17550000,
2996.01076341,3315.35940000,  0.33810000,  0.19180000,
2996.11146402,3480.72680000,  0.35490000,  0.20810000,
